Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.01uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,210.82,-123.4225,90.0,top
C11,1uF,CAPC3216X180N,215.31,-100.78,90.0,top
C12,1uF,CAPC3216X180N,213.36,-95.06,-90.0,top
C13,1uF,CAPC3216X180N,208.28,-95.44,90.0,top
C14,1uF,CAPC3216X180N,195.75,-80.94,180.0,top
C15,1uF,CAPC3216X180N,220.98,-115.76,90.0,top
C16,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,216.4675,-118.3425,0.0,top
C17,1uF,CAPC3216X180N,218.44,-93.98,90.0,top
C18,0.1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,220.98,-98.4925,90.0,top
C19,0.33u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,162.02,-92.05,90.0,top
C2,2.2uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,204.8775,-121.92,180.0,top
C20,0.1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,155.69,-83.78,-90.0,top
C21,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,162.0,-86.36,90.0,top
C3,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,198.07,-123.11,0.0,top
C4,2.2uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,159.5,-119.0,-90.0,top
C5,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,155.5,-119.0,-90.0,top
C6,0.01uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,173.94,-111.04,-90.0,top
C7,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,199.62,-89.41,180.0,top
C8,1uF,CAPC3216X180N,162.03,-98.09,-90.0,top
D1,MBR230LS,D_SOD-123F,208.32,-88.8875,90.0,top
J1,JST PH 2.00mm connector,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,224.35,-109.73,90.0,top
J2,~,HRO_TYPE-C-31-M-12,157.205,-107.65,-90.0,top
L1,22uH,L_Coilcraft_1515SQ-47N,203.5,-82.42,90.0,top
Q1,NPN,SOT-23_Handsoldering,179.5,-110.0,0.0,top
R1,3.3k,R_0603_1608Metric,190.5,-110.045,90.0,top
R10,10,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,210.18,-110.79,-90.0,top
R11,160m,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,203.2,-106.68,90.0,top
R12,160m,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,169.5,-107.0,180.0,top
R13,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,185.0,-110.0,90.0,top
R14,160m,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,185.93,-129.5,0.0,top
R2,3.3k,R_0603_1608Metric,195.12,-110.155,90.0,top
R3,1k,RESC3115X65N,170.0,-102.5,180.0,top
R4,10k,RESC3115X65N,178.0,-94.54,90.0,top
R5,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,179.5,-105.0,180.0,top
R6,160m,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,170.5,-83.0,0.0,top
R7,300,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,204.09,-98.82,-90.0,top
R8,2200,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,189.15,-103.05,90.0,top
R9,10,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,216.19,-113.08,90.0,top
R_PROG_1,2k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,178.0,-83.0,180.0,top
R_PROG_2,6.2k,R_0603_1608Metric,178.5,-89.0,0.0,top
S1,74LVC2G66DP,74LVC2G66DP,184.46,-96.33,0.0,top
SW1,SS-12D10L3,SS-12D10G5_XKB,226.0,-95.0,90.0,top
U1,DRV8833PWR,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,201.35,-127.89,0.0,top
U10,LM7805L-TF3-T,TO-220F-3_Vertical,155.76,-95.34,90.0,top
U11,TC4056A.,SOIC127P600X175-9N,170.7,-89.31,180.0,top
U2,DRV8833PWPR,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,165.75,-122.75,180.0,top
U3,INA219AxD,TSOT-23-8,194.6975,-103.765,0.0,top
U4,CH224K,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,170.5,-98.0,0.0,top
U6,MIC5504-1.2YM5,SOT-23-5,210.41,-83.5075,0.0,top
U7,SX1308,SOT-23-6,195.84,-85.9575,0.0,top
U8,TPS22965DSGR,DFN-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,214.3725,-105.93,180.0,top
U9,TPS22965DSGR,DFN-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,209.2925,-103.39,0.0,top
am1,2x16 (2.54mm pin pitch) pin header,PinHeader_2x16_P2.54mm_Vertical,190.87,-117.27,-90.0,top
